gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4430503802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/327055043/original.jpg	https://www.inaturalist.org/photos/327055043					2023-09-07T01:10:53Z	Juan Luis Hanoun Castro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Juan Luis Hanoun Castro
4430503802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/327055056/original.jpg	https://www.inaturalist.org/photos/327055056					2023-09-07T01:10:53Z	Juan Luis Hanoun Castro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Juan Luis Hanoun Castro
4424376677	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/325896720/original.jpeg	https://www.inaturalist.org/photos/325896720					2023-10-05T01:56:27Z	Cynthia Tercero		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	Cynthia Tercero
4413978066	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/319154437/original.jpeg	https://www.inaturalist.org/photos/319154437					2023-09-11T23:52:59Z	Cynthia Tercero		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	Cynthia Tercero
4413763776	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/319972799/original.jpg	https://www.inaturalist.org/photos/319972799					2023-09-14T11:13:32Z	Cristiane Homsi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cristiane Homsi
4413498659	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/257827003/original.jpeg	https://www.inaturalist.org/photos/257827003					2023-02-25T02:49:05Z	Oscar Enciso		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Oscar Enciso
4413380487	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/265391720/original.jpeg	https://www.inaturalist.org/photos/265391720					2023-04-06T04:07:11Z	Oscar Enciso		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Oscar Enciso
4407607591	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/316957546/original.jpeg	https://www.inaturalist.org/photos/316957546					2023-09-04T03:17:02Z	Velkiss Gadea		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Velkiss Gadea
4407607591	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/316957513/original.jpeg	https://www.inaturalist.org/photos/316957513					2023-09-04T00:52:28Z	Velkiss Gadea		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Velkiss Gadea
4407607591	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/316957579/original.jpeg	https://www.inaturalist.org/photos/316957579					2023-09-04T03:16:29Z	Velkiss Gadea		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Velkiss Gadea
4407417973	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/316353435/original.jpeg	https://www.inaturalist.org/photos/316353435					2023-07-27T02:51:40Z	andré		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	andré
4407417973	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/316353412/original.jpeg	https://www.inaturalist.org/photos/316353412					2023-07-27T02:51:51Z	andré		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	andré
4172005987	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/306416429/original.jpeg	https://www.inaturalist.org/photos/306416429					2020-02-12T16:43:09Z	ivanlau		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ivanlau
4145580914	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/296198221/original.jpeg	https://www.inaturalist.org/photos/296198221					2023-06-30T16:17:37Z	Yoannis Domínguez		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Yoannis Domínguez
4134067668	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/288935993/original.jpeg	https://www.inaturalist.org/photos/288935993					2023-06-11T02:17:39Z	Fernando		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Fernando
4133906450	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241380263/original.jpg	https://www.inaturalist.org/photos/241380263					2006-10-05T04:00:00Z	Wolf-Achim and Hanna Roland		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wolf-Achim and Hanna Roland
4076421821	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/180293268/original.jpeg	https://www.inaturalist.org/photos/180293268					2021-09-16T19:24:53Z	vinicius_s_domingues		iNaturalist	http://creativecommons.org/licenses/by/4.0/	vinicius_s_domingues
4076118466	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/264386124/original.jpeg	https://www.inaturalist.org/photos/264386124					2023-04-01T21:22:04Z	borala		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	borala
